时间,商品名称,库存变化,单笔销量
2026-06-26 18:33:54,오메가엑스 1:1 VIDEO CALL EVENT,初始库存: 30000,0
2026-06-28 10:15:23,오메가엑스 1:1 VIDEO CALL EVENT,30000 -> 29996,4
2026-06-28 23:01:32,오메가엑스 1:1 VIDEO CALL EVENT,29996 -> 29995,1
2026-06-29 15:24:43,오메가엑스 1:1 VIDEO CALL EVENT,29995 -> 29996,-1
2026-07-01 01:35:42,오메가엑스 1:1 VIDEO CALL EVENT,29996 -> 29995,1
2026-07-01 16:30:00,오메가엑스 1:1 VIDEO CALL EVENT,29995 -> 29988,7
2026-07-01 19:19:17,오메가엑스 1:1 VIDEO CALL EVENT,29988 -> 29982,6
2026-07-01 20:47:37,오메가엑스 1:1 VIDEO CALL EVENT,29982 -> 29977,5
2026-07-01 22:45:26,오메가엑스 1:1 VIDEO CALL EVENT,29977 -> 29974,3
2026-07-01 23:00:09,오메가엑스 1:1 VIDEO CALL EVENT,29974 -> 29972,2
